VGS_V,VDS_V,ID_A
0.70,0.670,3.799234e-05
0.70,0.680,3.830636e-05
0.70,0.690,3.862101e-05
0.70,0.700,3.893641e-05
0.70,0.710,3.925269e-05
0.70,0.720,3.956997e-05
0.70,0.730,3.988839e-05
0.70,0.740,4.020811e-05
0.70,0.750,4.052928e-05
0.70,0.760,4.085208e-05
0.70,0.770,4.117668e-05
0.70,0.780,4.150328e-05
0.70,0.790,4.183206e-05
0.70,0.800,4.216325e-05
0.80,0.000,-6.966285e-12
0.80,0.010,1.796622e-06
0.80,0.020,3.550740e-06
0.80,0.030,5.262288e-06
0.80,0.040,6.931290e-06
0.80,0.050,8.557810e-06
0.80,0.060,1.014193e-05
0.80,0.070,1.168372e-05
0.80,0.080,1.318323e-05
0.80,0.090,1.464050e-05
0.80,0.100,1.605552e-05
0.80,0.110,1.742824e-05
0.80,0.120,1.875855e-05
0.80,0.130,2.004631e-05
0.80,0.140,2.129129e-05
0.80,0.150,2.249321e-05
0.80,0.160,2.365174e-05
0.80,0.170,2.476649e-05
0.80,0.180,2.583704e-05
0.80,0.190,2.686295e-05
0.80,0.200,2.784385e-05
0.80,0.210,2.877945e-05
0.80,0.220,2.966961e-05
0.80,0.230,3.051449e-05
0.80,0.240,3.131459e-05
0.80,0.250,3.207085e-05
0.80,0.260,3.278467e-05
0.80,0.270,3.345799e-05
0.80,0.280,3.409318e-05
0.80,0.290,3.469299e-05
0.80,0.300,3.526043e-05
0.80,0.310,3.579860e-05
0.80,0.320,3.631059e-05
0.80,0.330,3.679939e-05
0.80,0.340,3.726777e-05
0.80,0.350,3.771825e-05
0.80,0.360,3.815313e-05
0.80,0.370,3.857439e-05
0.80,0.380,3.898380e-05
0.80,0.390,3.938288e-05
0.80,0.400,3.977295e-05
0.80,0.410,4.015515e-05
0.80,0.420,4.053046e-05
0.80,0.430,4.089971e-05
0.80,0.440,4.126364e-05
0.80,0.450,4.162286e-05
0.80,0.460,4.197792e-05
0.80,0.470,4.232929e-05
0.80,0.480,4.267736e-05
0.80,0.490,4.302250e-05
0.80,0.500,4.336501e-05
0.80,0.510,4.370516e-05
0.80,0.520,4.404318e-05
0.80,0.530,4.437930e-05
0.80,0.540,4.471368e-05
0.80,0.550,4.504650e-05
0.80,0.560,4.537790e-05
0.80,0.570,4.570801e-05
0.80,0.580,4.603696e-05
0.80,0.590,4.636486e-05
0.80,0.600,4.669179e-05
0.80,0.610,4.701787e-05
0.80,0.620,4.734318e-05
0.80,0.630,4.766780e-05
0.80,0.640,4.799183e-05
0.80,0.650,4.831534e-05
0.80,0.660,4.863842e-05
0.80,0.670,4.896116e-05
0.80,0.680,4.928365e-05
0.80,0.690,4.960599e-05
0.80,0.700,4.992828e-05
0.80,0.710,5.025061e-05
0.80,0.720,5.057311e-05
0.80,0.730,5.089590e-05
0.80,0.740,5.121910e-05
0.80,0.750,5.154285e-05
0.80,0.760,5.186731e-05
0.80,0.770,5.219264e-05
0.80,0.780,5.251899e-05
0.80,0.790,5.284655e-05
0.80,0.800,5.317552e-05
